idx,transaction_id,user_id,transaction_date,product_category,product_name,merchant_name,product_amount,transaction_fee,cashback,loyalty_points,payment_method,transaction_status,merchant_id,device_type,location
710,d22d9b2d-24fc-488a-a9b9-295048757a9f,USER_01562,10/9/2023 6:16,Insurance Premium,Health Insurance,SBI Life,9392.68,15.24,24.93,206,Bank Transfer,Successful,MERCH_0789,Android,Urban
711,639b08e4-97dd-47ca-8989-73c157716b46,USER_04198,10/9/2023 7:11,Gaming Credits,500 Gems Pack,Minecraft,4376.42,18.33,50.48,267,Credit Card,Successful,MERCH_0161,Android,Urban
712,eb0ab5a6-e0eb-4afd-91b9-88adf43b5a07,USER_09093,10/9/2023 8:16,Loan Repayment,Education Loan EMI,Bajaj Finserv,8384.61,37.85,69.55,240,Wallet Balance,Successful,MERCH_0189,Android,Urban
713,8ea425b7-880f-4337-bcf2-2111664d170e,USER_06879,10/9/2023 8:21,Electricity Bill,Commercial Bill,MSEDCL,4769.51,28.14,44.41,559,Unified Payments Interface,Successful,MERCH_0045,Web,Urban
714,1e083786-8564-49b7-81d5-0fb349ea935e,USER_02887,10/9/2023 8:34,Streaming Service,Basic Plan,Hotstar,3060.86,41.66,72.43,313,Debit Card,Successful,MERCH_0675,Android,Urban
715,8c2c391f-4524-4506-81ae-8df0ff31ff73,USER_09499,10/9/2023 9:58,Hotel Booking,Deluxe Room,OYO Rooms,250.14,6.33,43.83,694,Debit Card,Successful,MERCH_0026,iOS,Rural
716,70e1e43b-e324-4d15-928c-7c36754e6b46,USER_07676,10/9/2023 17:12,Taxi Fare,City Ride,Jugnoo,4462.8,41.05,63.23,456,Credit Card,Successful,MERCH_0908,Android,Rural
717,3097cd6c-33aa-4ffc-b063-552e3943cf74,USER_04798,10/9/2023 17:42,Taxi Fare,City Ride,Uber,5763.62,31.7,88.02,117,Unified Payments Interface,Successful,MERCH_0139,iOS,Urban
718,2efdbefb-639d-40d2-a1a9-4019ea322810,USER_06979,10/9/2023 17:57,Rent Payment,1BHK Apartment Rent,Airbnb,1623.8,7.42,96.29,705,Unified Payments Interface,Successful,MERCH_0112,Android,Rural
719,9152c74a-55c8-4857-b774-ed3fcf7f09cb,USER_05710,10/9/2023 19:02,Bus Ticket,Semi-Sleeper,AbhiBus,9501.49,15.65,57.32,713,Bank Transfer,Successful,MERCH_0791,Android,Rural
720,42b0dde9-991f-4aed-b59c-ff5e9a4175e9,USER_09298,10/9/2023 23:04,Grocery Shopping,Dairy Milk Chocolate,Flipkart Supermart,2182.06,25.07,61.24,8,Unified Payments Interface,Successful,MERCH_0925,Web,Suburban
721,538dd406-9fab-4ecc-b55a-fc2aea81584d,USER_08922,10/10/2023 2:48,Gas Bill,Commercial Gas Connection,Bharat Gas,9620.21,31.23,24.62,61,Wallet Balance,Successful,MERCH_0707,iOS,Suburban
722,5b5110e9-4da9-4f1d-aa39-b517db715c8f,USER_09339,10/10/2023 4:57,Rent Payment,Co-working Space,Airbnb,6208.48,42.23,55.88,645,Bank Transfer,Successful,MERCH_0639,Android,Suburban
723,90a7f308-4dd0-4814-8077-7e39824e9a90,USER_02162,10/10/2023 5:21,Online Shopping,Steel Toe Shoes,Flipkart,7073.45,15.31,88.57,945,Unified Payments Interface,Successful,MERCH_0508,iOS,Suburban
724,3e95963b-734a-4c3e-8349-9ed4cb72c461,USER_03723,10/10/2023 5:53,Water Bill,Residential Connection,Mumbai Water,6992.85,30.29,30.57,221,Unified Payments Interface,Successful,MERCH_0179,iOS,Urban
725,841dc8c4-e560-40f2-be21-17464b5bd668,USER_08457,10/10/2023 6:22,Electricity Bill,Agricultural Bill,BSES,5192,25.98,92.2,575,Unified Payments Interface,Successful,MERCH_0189,Android,Urban
726,ae1315e0-7af6-4fef-8c4a-fd67976a7bd9,USER_09809,10/10/2023 6:39,Electricity Bill,Industrial Bill,MSEDCL,2231.34,49.14,22.54,885,Credit Card,Successful,MERCH_0968,Web,Suburban
727,ba92637c-5d76-4f80-b827-135f1d191552,USER_01354,10/10/2023 8:34,Gaming Credits,Battle Pass,Free Fire,8165.97,11.18,42.53,369,Debit Card,Successful,MERCH_0225,Android,Urban
728,48a6cca6-3c8f-448b-acc1-bd264ee6b134,USER_05020,10/10/2023 9:48,Flight Booking,Delhi to Mumbai,EaseMyTrip,3300.96,0.48,24.77,158,Unified Payments Interface,Successful,MERCH_0063,iOS,Urban
729,167e67b0-b7e1-42ea-86b7-9c722c30fe01,USER_08113,10/10/2023 10:31,Streaming Service,Family Subscription,Hotstar,3316.48,37.41,79.34,983,Debit Card,Successful,MERCH_0947,Android,Urban
730,ca5cda0d-fbed-4e90-bb9c-5662687593f2,USER_03913,10/10/2023 11:15,Movie Ticket,PK,INOX,5863.06,18.34,17.9,148,Debit Card,Successful,MERCH_0822,Android,Urban
731,b3969935-b862-4d41-8bb9-ae5e94616ba2,USER_04046,10/10/2023 11:30,Insurance Premium,Home Insurance,Max Life,9900.96,30.23,33.5,578,Bank Transfer,Successful,MERCH_0879,Android,Urban
732,6fa65f97-f16f-41fc-9d5f-25c2909f5349,USER_09666,10/10/2023 13:08,Grocery Shopping,Mixed Fruit Jam,Flipkart Supermart,1139.84,26.03,33.88,954,Bank Transfer,Successful,MERCH_0767,Android,Urban
733,1c5c9536-16f4-4c09-8d11-15d66be07c2b,USER_04159,10/10/2023 14:14,Streaming Service,Premium Plan,ZEE5,4266.1,11.31,63.26,514,Wallet Balance,Successful,MERCH_0960,Android,Urban
734,8052049b-4eb5-45a8-94d3-abcdffb5196a,USER_03960,10/10/2023 16:48,Loan Repayment,Personal Loan Payment,ICICI Bank,718.43,8.34,63.58,382,Debit Card,Successful,MERCH_0010,Web,Urban
735,47e666b4-c006-43f9-b6e3-bbc4d7ece957,USER_02733,10/10/2023 18:09,Mobile Recharge,Postpaid Plan 599,BSNL,4677.06,23.8,14.51,134,Credit Card,Successful,MERCH_0388,Android,Urban
736,8b648602-5937-4e90-b209-1ad5b2d4a162,USER_07379,10/10/2023 18:51,Online Shopping,Smart LED TV,Nykaa,1628.13,8.88,94.54,94,Bank Transfer,Successful,MERCH_0008,Android,Urban
737,8e7f7327-9dc1-4465-bc13-454231b1fb73,USER_08251,10/10/2023 19:31,Internet Bill,Business Internet Plan,BSNL Broadband,5109.17,37.38,91.78,264,Unified Payments Interface,Successful,MERCH_0513,Android,Urban
738,5f7a241c-eebf-4944-9665-c1fc7fce314f,USER_02107,10/10/2023 20:45,Food Delivery,Pizza Margherita,Foodpanda,9883.67,49.03,34.19,548,Bank Transfer,Successful,MERCH_0878,Android,Suburban
739,b62bd7b0-3a15-4f35-8a63-842b079a75b8,USER_04875,10/10/2023 20:52,Rent Payment,Commercial Space Rent,Airbnb,6603.7,2,37.62,527,Wallet Balance,Successful,MERCH_0261,Android,Urban
740,1239a160-4317-4fda-b2a6-9f59aabff338,USER_07385,10/10/2023 23:04,Flight Booking,Bangalore to Kolkata,Yatra,446.56,8.49,70.49,433,Bank Transfer,Successful,MERCH_0848,Android,Urban
741,05585838-662a-4f37-bef5-fd2e165d73e4,USER_02280,10/11/2023 0:53,Rent Payment,PG Accommodation,Airbnb,4615.59,13.66,95.21,443,Unified Payments Interface,Successful,MERCH_0133,Android,Suburban
742,0c5e396b-6834-40dc-852d-31d4f963d80a,USER_03893,10/11/2023 1:54,Bus Ticket,Sleeper Class,MakeMyTrip Bus,9120.48,43.28,87.14,555,Unified Payments Interface,Successful,MERCH_0847,Android,Suburban
743,113347cc-0890-435f-8071-f8a0253d63b0,USER_01538,10/11/2023 7:27,Grocery Shopping,Dairy Milk Chocolate,Nature's Basket,4811.07,24.01,18.83,537,Credit Card,Successful,MERCH_0218,Android,Urban
744,2d28c20b-cbc0-4ab0-b29a-97edb378df11,USER_02795,10/11/2023 7:41,Taxi Fare,Outstation Trip,Uber,2218.43,14.96,70.68,814,Credit Card,Successful,MERCH_0995,iOS,Urban
745,ba3b2737-6b93-4c1a-a8a0-ca279cc23b0f,USER_07372,10/11/2023 7:51,Gaming Credits,1000 Game Coins,Free Fire,3109.68,25.58,4.44,290,Unified Payments Interface,Successful,MERCH_0748,Android,Suburban
746,cdec0654-f6ba-4a7e-bae5-b538dc403139,USER_07098,10/11/2023 10:00,Gaming Credits,1000 Game Coins,Roblox,4355.54,39.81,69.17,542,Debit Card,Successful,MERCH_0451,Android,Urban
747,cb65b473-36fb-4751-b881-3c800b004d2d,USER_08577,10/11/2023 13:07,Rent Payment,Commercial Space Rent,OYO Life,5262.91,21.94,47.82,121,Bank Transfer,Successful,MERCH_0653,Android,Urban
748,35fd9c04-4337-4f70-b11f-6ffda57c8ba3,USER_08054,10/11/2023 14:28,Movie Ticket,Baahubali 2,Carnival Cinemas,5064.82,21.73,76.27,101,Debit Card,Successful,MERCH_0558,Android,Urban
749,967bd566-f56b-4089-ac30-a7c8a673e568,USER_07314,10/11/2023 18:57,Hotel Booking,Suite,Treebo,2414.04,37.53,5.48,630,Wallet Balance,Successful,MERCH_0224,Android,Urban
750,54edb081-6b96-4ca2-983a-e3e00fd5f889,USER_03621,10/11/2023 19:53,Bus Ticket,Sleeper Class,MakeMyTrip Bus,1822.07,13.57,51.49,76,Wallet Balance,Successful,MERCH_0280,Android,Urban
751,8b6ad284-678e-4cf1-beb6-16f0b15ed6b4,USER_04922,10/11/2023 20:20,Electricity Bill,Agricultural Bill,MSEDCL,8069.75,10.56,93.85,134,Debit Card,Failed,MERCH_0109,iOS,Urban
752,831fa505-3956-4a3d-8d69-c6b617ce8c60,USER_07132,10/12/2023 2:31,Internet Bill,4G Unlimited Plan,Hathway,7621.87,12.69,93.04,276,Debit Card,Successful,MERCH_0861,Android,Urban
753,f84d3232-7ac3-430d-98e6-ac090be0db56,USER_09609,10/12/2023 2:40,Internet Bill,Broadband 50Mbps Plan,Hathway,4909.7,6.72,21.52,227,Wallet Balance,Successful,MERCH_0950,Web,Urban
754,4123a6e3-8764-40d7-8679-09561882acdd,USER_08910,10/12/2023 4:40,Water Bill,Tanker Supply,Delhi Jal Board,1910.3,7.72,91.11,864,Unified Payments Interface,Successful,MERCH_0359,iOS,Urban
755,c7f41074-af6c-4b3c-85b3-9bf836243c03,USER_02691,10/12/2023 4:46,Online Shopping,Laptop Backpack,Flipkart,3827.26,27.08,55.61,899,Credit Card,Successful,MERCH_0833,iOS,Urban
756,cef631bb-d85f-4774-b8f2-a804d5647c48,USER_07035,10/12/2023 6:48,Movie Ticket,Dangal,INOX,3576.78,37.16,76.9,841,Unified Payments Interface,Successful,MERCH_0663,Android,Suburban
757,6dab7f51-b70a-4e1b-a4b5-638436ffb72e,USER_04303,10/12/2023 6:55,Gaming Credits,Battle Pass,Minecraft,4323.51,9.93,48.07,170,Credit Card,Successful,MERCH_0805,Web,Urban
758,ecb5b3c5-25d5-4507-bbcb-f38b2b634894,USER_07872,10/12/2023 7:07,Electricity Bill,Commercial Bill,MSEDCL,944.92,9.5,32.92,138,Unified Payments Interface,Successful,MERCH_0521,Android,Urban
759,d1dadd03-3a73-49ed-83f1-6838773fe953,USER_07007,10/12/2023 7:14,Taxi Fare,City Ride,Ola,8740.25,10.94,20.83,981,Bank Transfer,Successful,MERCH_0624,iOS,Urban
760,79bae56a-3aed-4026-bc1a-909e0e6a9bf9,USER_05021,10/12/2023 9:52,Bus Ticket,AC Seater,MakeMyTrip Bus,1967.61,18.01,64.89,871,Bank Transfer,Successful,MERCH_0191,Android,Suburban
761,5a211fb0-092b-42db-bef2-8f8a9e1b55d8,USER_08350,10/12/2023 16:40,Electricity Bill,Residential Bill,MSEDCL,7966.73,22.98,6.88,441,Bank Transfer,Failed,MERCH_0345,Android,Urban
762,e561496d-1fb5-459f-ae36-46f1b4b1860d,USER_01881,10/12/2023 19:08,Grocery Shopping,Dairy Milk Chocolate,Amazon Pantry,8939.65,15.45,72.18,182,Debit Card,Successful,MERCH_0664,Android,Urban
763,7ebe9b90-51f7-4da4-aa64-96fed9814883,USER_01379,10/12/2023 19:57,Electricity Bill,Commercial Bill,BSES,3983.81,29.13,65.73,443,Debit Card,Successful,MERCH_0499,Web,Urban
764,1dbdc72a-3de8-4087-b0cd-bdc002a15414,USER_07280,10/12/2023 20:59,Food Delivery,Masala Dosa,Zomato,2074.54,11.56,56.29,153,Wallet Balance,Successful,MERCH_0442,Android,Suburban
765,ff6d9a91-5517-4ca9-834c-a29e9bf70181,USER_00833,10/13/2023 0:32,Gas Bill,Industrial Gas Supply,Bharat Gas,5782,24.79,61.12,157,Debit Card,Successful,MERCH_0696,iOS,Urban
766,44f8570a-51ac-4515-997b-785dad99bb93,USER_07327,10/13/2023 2:22,Gift Card,Rs. 5000 Luxury Card,Amazon Pay,4468.9,23.05,4.81,286,Credit Card,Successful,MERCH_0092,Android,Urban
767,220afcdf-6d63-414d-830f-46200c978fd5,USER_04194,10/13/2023 3:35,Grocery Shopping,Mixed Fruit Jam,Grofers,2043.5,16,30.4,9,Wallet Balance,Successful,MERCH_0524,Android,Urban
768,eab26ccb-4be4-4ae0-b326-ff92a8e9ca8e,USER_01288,10/13/2023 5:58,Insurance Premium,Motor Insurance,SBI Life,9409.16,33.32,67.06,580,Unified Payments Interface,Successful,MERCH_0119,Android,Urban
769,65834f9f-f498-41b5-90cf-cfc768c088a7,USER_07853,10/13/2023 7:22,Gift Card,Rs. 5000 Luxury Card,Shoppers Stop,4316.54,6.94,46.12,666,Credit Card,Successful,MERCH_0533,Android,Urban
770,58cdf118-5754-4927-a555-a56959ec2af2,USER_01675,10/13/2023 8:16,Mobile Recharge,Data Pack 50GB,Vodafone,2275.05,11.35,93.01,706,Credit Card,Successful,MERCH_0767,iOS,Urban
771,f39d9c06-ce00-4705-9e54-e533afd6892d,USER_03418,10/13/2023 8:26,Flight Booking,Ahmedabad to Jaipur,Yatra,5160.78,18.94,66.27,326,Debit Card,Successful,MERCH_0877,Android,Suburban
772,9e7cda46-bb75-4dcd-982c-4288ee2aad97,USER_05152,10/13/2023 8:54,Gas Bill,Commercial Gas Connection,Bharat Gas,156.02,3.52,96.36,319,Bank Transfer,Successful,MERCH_0194,Android,Urban
773,96a26117-10df-465c-b891-86dc4ba16678,USER_06477,10/13/2023 12:03,Online Shopping,Wireless Earbuds,Myntra,5668.33,35.03,60.37,711,Unified Payments Interface,Successful,MERCH_0749,Android,Urban
774,99434aa0-0495-486f-a446-fed222cfb172,USER_02676,10/13/2023 12:35,Rent Payment,Service Apartment,Airbnb,9095.62,42,7.15,406,Unified Payments Interface,Pending,MERCH_0359,iOS,Suburban
775,f006a5a3-3b38-4548-bace-0662235ad64e,USER_05919,10/13/2023 12:37,Gaming Credits,500 Gems Pack,Free Fire,5902.52,33.65,29.55,606,Wallet Balance,Failed,MERCH_0394,Android,Suburban
776,eb9827bc-894a-4966-aad0-f18cc88a6500,USER_06057,10/13/2023 14:08,Food Delivery,Chilli Paneer,Domino's,1634.44,2.31,30.09,617,Wallet Balance,Successful,MERCH_0994,Android,Urban
777,3bbe5433-3688-4562-a0dc-c89be4987350,USER_03767,10/13/2023 17:58,Mobile Recharge,Annual Plan 2999,Vodafone,5181.26,26.59,96.61,636,Credit Card,Successful,MERCH_0729,iOS,Urban
778,0c16792e-523c-499b-a30f-d36ad6d651da,USER_00767,10/13/2023 18:22,Internet Bill,Business Internet Plan,BSNL Broadband,5319.72,17.12,67.69,381,Unified Payments Interface,Successful,MERCH_0150,iOS,Urban
779,35d05b25-de9b-4491-b587-e076d35edd38,USER_01934,10/13/2023 21:45,Bus Ticket,Non-AC Seater,RedBus,6022.05,24.04,6.14,702,Debit Card,Successful,MERCH_0105,Android,Urban
780,7ec6ed6f-749f-4984-b196-a4e281b70328,USER_02969,10/14/2023 1:44,Insurance Premium,Motor Insurance,SBI Life,7032.46,35.79,8.33,248,Unified Payments Interface,Successful,MERCH_0682,iOS,Urban
781,49abb3af-8bf6-4dc8-b634-ae95624210fa,USER_05455,10/14/2023 2:55,Gas Bill,Commercial Gas Connection,Indraprastha Gas,673.9,7.76,1.46,939,Debit Card,Successful,MERCH_0296,Web,Urban
782,438ffaaf-4889-4281-b5d0-835b7bb72006,USER_02847,10/14/2023 5:09,Water Bill,Residential Connection,Chennai Metro Water,6923.83,46.84,22.35,851,Wallet Balance,Successful,MERCH_0001,Web,Rural
783,08b48797-5a5b-4cb1-b7ff-22fb66edc6af,USER_02179,10/14/2023 6:04,Loan Repayment,Car Loan Installment,HDFC Bank,3728.98,18.18,46.26,761,Unified Payments Interface,Successful,MERCH_0928,Android,Rural
784,75853d05-5db7-4a23-b6cf-f69312bbf4a0,USER_02670,10/14/2023 7:10,Hotel Booking,Suite,OYO Rooms,7372.82,41.16,66.82,157,Debit Card,Successful,MERCH_0670,Android,Urban
785,7bc14871-79ee-47bb-a2ac-79219226ac5e,USER_06385,10/14/2023 7:12,Streaming Service,Family Subscription,Hotstar,9774.58,46.85,7.23,158,Bank Transfer,Successful,MERCH_0009,iOS,Suburban
786,c4f08eb2-4629-433f-9252-7c8ab31c5ca3,USER_00421,10/14/2023 11:33,Electricity Bill,Commercial Bill,CESC,2288.6,12.37,5.76,416,Unified Payments Interface,Successful,MERCH_0424,Android,Urban
787,26fb0ce5-0937-4fe9-8c95-41efbffd3495,USER_01926,10/14/2023 11:48,Grocery Shopping,Refined Sunflower Oil,Grofers,7472.54,36.69,37.27,40,Unified Payments Interface,Successful,MERCH_0514,Android,Suburban
788,e035e186-8e04-499c-8360-db52597ddfbe,USER_08521,10/14/2023 14:09,Online Shopping,Wireless Earbuds,Flipkart,4894.52,24.61,21.97,118,Bank Transfer,Successful,MERCH_0404,Android,Urban
789,fd4c958f-d0d1-4c75-a93d-18e651feab24,USER_08114,10/14/2023 15:13,Internet Bill,Business Internet Plan,Hathway,7343.23,26.87,41.51,883,Wallet Balance,Successful,MERCH_0911,Android,Suburban
790,f16fd4e4-c305-46f3-85e4-cb772ea298ed,USER_04335,10/14/2023 17:26,Electricity Bill,Commercial Bill,CESC,7893.59,47.24,80.56,908,Debit Card,Successful,MERCH_0796,Android,Rural
791,6b524d19-b01c-4d81-9bf9-27c28df1c0ed,USER_07270,10/14/2023 20:29,Electricity Bill,Commercial Bill,BSES,938.55,38.04,93.01,323,Debit Card,Successful,MERCH_0117,Web,Urban
792,580e1530-97f2-4975-9f1d-0cb6492c1576,USER_05496,10/14/2023 23:23,Internet Bill,Broadband 50Mbps Plan,Hathway,6515.01,48.31,65.9,610,Debit Card,Successful,MERCH_0011,Android,Rural
793,87ddc1fa-c06b-45ac-a572-2a8aca25bfb8,USER_00949,10/15/2023 0:21,Loan Repayment,Business Loan Repayment,ICICI Bank,6351.86,42.33,85.42,510,Bank Transfer,Successful,MERCH_0409,iOS,Suburban
794,41125a7d-0066-40d9-98a0-5e1658c5b745,USER_07538,10/15/2023 2:06,Flight Booking,Chennai to Hyderabad,Yatra,3181.82,34.68,47.55,648,Unified Payments Interface,Successful,MERCH_0611,Android,Rural
795,cc1fd723-8002-4cf9-9303-b94732f99e4d,USER_04054,10/15/2023 2:21,Food Delivery,Vegetable Biryani,Domino's,5014.73,24.29,14.52,600,Credit Card,Successful,MERCH_0561,Web,Urban
796,ec636688-5ff2-4823-9eb4-4ce089344151,USER_02340,10/15/2023 2:56,Mobile Recharge,Prepaid Plan 399,BSNL,14.23,46.08,74.46,809,Unified Payments Interface,Successful,MERCH_0849,iOS,Urban
797,9b6583b9-c411-4831-9353-1ffb35585250,USER_08326,10/15/2023 4:57,Gas Bill,Industrial Gas Supply,Bharat Gas,9838.57,2.3,74.62,785,Bank Transfer,Failed,MERCH_0957,Android,Urban
798,455bd33b-2fce-479e-9595-d9566b26f18e,USER_08503,10/15/2023 5:35,Education Fee,Data Science Bootcamp,Coursera,7755.58,41.73,16.15,309,Debit Card,Successful,MERCH_0062,Android,Rural
799,ea85392e-fe7b-44b3-8e3c-5b9b041aaf57,USER_05582,10/15/2023 6:18,Hotel Booking,Service Apartment,Fab Hotels,8559.62,32.03,3.17,410,Wallet Balance,Successful,MERCH_0247,Android,Suburban
800,6b8ed1dc-8dad-4ac4-912a-28d7c7b68ab1,USER_00249,10/15/2023 9:39,Education Feet,MBA Entrance Prep,Unacademy,6885.4,38.88,6.77,294,Bank Transfer,Failed,MERCH_0035,iOS,Suburban
801,9f1f9c3b-b899-4f73-9ea4-32ea204eeef3,USER_00712,10/15/2023 10:17,Internet Bill,Business Internet Plan,Jio Fiber,4379.41,29.05,26.43,339,Debit Card,Successful,MERCH_0873,iOS,Urban
802,1923ce46-f3ff-4f55-a13a-81927b0dc9c2,USER_08144,10/15/2023 11:39,Insurance Premium,Term Life Policy,LIC,3620.73,1.69,61.73,197,Debit Card,Successful,MERCH_0503,iOS,Urban
803,042d8c84-c11d-408a-b1b2-fad9aba27c32,USER_05610,10/15/2023 11:41,Insurance Premium,Motor Insurance,LIC,2824.48,3.69,5.5,423,Debit Card,Successful,MERCH_0836,iOS,Urban
804,b8addcdd-0e4b-4523-9a61-d5432d03379e,USER_03946,10/15/2023 11:49,Gaming Credits,Premium Skin,PUBG Mobile,7254.1,33.68,38.39,51,Debit Card,Successful,MERCH_0719,iOS,Suburban
805,a981f69e-0204-4858-a35c-80894846e289,USER_07616,10/15/2023 14:16,Movie Ticket,Baahubali 2,SPI Cinemas,4813.32,49.68,37.44,926,Bank Transfer,Successful,MERCH_0376,Android,Urban
806,f2cd352d-fd26-4e93-8720-c74ee21ec732,USER_00589,10/15/2023 14:18,Rent Payment,Commercial Space Rent,Housing.com,9731.93,25.87,72.8,556,Wallet Balance,Successful,MERCH_0005,Android,Urban
807,296c68d5-513d-4248-b31b-23f92df845bd,USER_04452,10/15/2023 20:01,Movie Ticket,PK,INOX,9834.79,46.11,41.47,294,Credit Card,Successful,MERCH_0564,Android,Urban
808,8928c673-df1b-49c0-85d4-0dbb822ca1af,USER_05737,10/15/2023 23:00,Online Shopping,Laptop Backpack,Flipkart,4749.72,23.46,5.68,840,Wallet Balance,Successful,MERCH_0874,iOS,Urban
809,4873c486-a138-43a6-ab84-a9192ecbb7d6,USER_03804,10/15/2023 23:11,Loan Repayment,Car Loan Installment,SBI,8181.61,34.61,49.4,205,Unified Payments Interface,Successful,MERCH_0071,Android,Urban
810,78cb34a4-6e6e-408e-9377-35ae207df29b,USER_05782,10/15/2023 23:22,Internet Bill,Business Internet Plan,ACT Fibernet,2494.19,2.96,94.71,597,Credit Card,Successful,MERCH_0646,Android,Urban
811,a7ffb2bd-8784-4e35-8286-e56a277f9dbb,USER_07771,10/16/2023 0:04,Hotel Booking,Villa,Treebo,4685.1,25.27,53.64,985,Debit Card,Successful,MERCH_0245,iOS,Urban
812,4c497da2-bd92-4f53-8203-bd7ef4937dd4,USER_00330,10/16/2023 1:18,Gas Bill,Industrial Gas Supply,Gujarat Gas,5782,24.79,99.08,71,Debit Card,Successful,MERCH_0682,Android,Urban
813,012928ef-0234-41a6-a031-6df440b96a50,USER_00666,10/16/2023 11:19,Water Bill,Industrial Use,Hyderabad Water Board,9140.84,41.77,37.09,774,Credit Card,Successful,MERCH_0222,Android,Urban
814,599969d3-fec2-4c66-bb1b-0229b4c976ec,USER_03961,10/16/2023 11:48,Taxi Fare,Rental Package,Ola,2194.52,1.08,65.25,270,Bank Transfer,Successful,MERCH_0907,Android,Urban
815,7eda505d-2543-417c-ae2b-72380721ca0e,USER_09374,10/16/2023 18:19,Food Delivery,Pizza Margherita,Uber Eats,7582.38,23.56,64.38,878,Unified Payments Interface,Successful,MERCH_0201,iOS,Rural
816,72a27d5f-79cf-4a9c-afcc-205bd062c140,USER_03521,10/16/2023 19:54,Gift Card,Rs. 1000 Shopping Voucher,Lifestyle,310.28,27.82,51,419,Unified Payments Interface,Successful,MERCH_0877,Android,Rural
817,970ec8f8-2569-45c3-861d-0882d052b361,USER_07655,10/16/2023 20:48,Flight Booking,Ahmedabad to Jaipur,EaseMyTrip,8362.99,48.81,17,436,Bank Transfer,Successful,MERCH_0782,Android,Urban
818,582b5117-0f06-48ce-8bf1-149ee97a7819,USER_05247,10/16/2023 21:28,Online Shopping,Laptop Backpack,Nykaa,3828.48,45.76,70.4,534,Debit Card,Successful,MERCH_0151,Android,Suburban
819,b3946e23-7879-4d04-95ed-3e53b3e2b73e,USER_03478,10/16/2023 21:34,Bus Ticket,Semi-Sleeper,RedBus,9036.36,41.3,17.59,877,Wallet Balance,Successful,MERCH_0246,Android,Urban
820,759e3158-127c-41aa-ae88-94a275ec5fa7,USER_05956,10/16/2023 22:06,Streaming Service,Basic Plan,Netflix,5287.64,4.06,54.64,284,Debit Card,Successful,MERCH_0517,Web,Urban
821,6c6aaaba-a4b5-444b-a009-5d205ad1cb81,USER_00996,10/16/2023 22:07,Electricity Bill,Residential Bill,CESC,6447.35,7.8,64,671,Debit Card,Successful,MERCH_0120,Android,Urban
822,e793a746-5a99-4fc6-bf56-dc265df40166,USER_00515,10/16/2023 23:22,Grocery Shopping,Whole Wheat Atta,Flipkart Supermart,6989.12,46.5,8.54,993,Bank Transfer,Successful,MERCH_0111,Android,Urban
823,c7bc7a99-799a-45fa-abc5-885aff42b681,USER_04316,10/17/2023 0:56,Food Delivery,Vegetable Biryani,Swiggy,3428.31,43.93,88.25,530,Bank Transfer,Successful,MERCH_0250,iOS,Urban
824,30282d6c-2351-4212-8316-44e977dea81b,USER_09353,10/17/2023 1:58,Food Delivery,Chilli Paneer,Zomato,3426.37,29.64,28.29,869,Bank Transfer,Successful,MERCH_0154,Android,Suburban
825,2bc3d31b-4375-46de-9680-20ca46f306cd,USER_09352,10/17/2023 6:48,Loan Repayment,Home Loan EMI,Axis Bank,2642.58,20.7,56.53,843,Bank Transfer,Successful,MERCH_0714,Android,Urban
826,de430694-c8be-4def-8a8d-1e511be335c6,USER_07109,10/17/2023 6:59,Loan Repayment,Business Loan Repayment,Axis Bank,4055.48,26.69,65.64,950,Debit Card,Successful,MERCH_0748,Android,Rural
827,eb47b9a8-c798-483f-bf3c-25fcc0e84940,USER_08584,10/17/2023 8:18,Loan Repayment,Home Loan EMI,Bajaj Finserv,5914.33,4.35,78.62,501,Wallet Balance,Successful,MERCH_0630,iOS,Urban
828,1a27fc85-4e02-4ca9-8c15-e81cef37167c,USER_08457,10/17/2023 9:29,Insurance Premium,Motor Insurance,SBI Life,6129.07,3.56,73.02,51,Wallet Balance,Successful,MERCH_0297,iOS,Suburban
829,67a5c41e-59ce-4a44-a637-b44b96b55fe7,USER_06064,10/17/2023 14:54,Gaming Credits,500 Gems Pack,Call of Duty Mobile,5901.66,4.3,59.32,326,Debit Card,Successful,MERCH_0180,iOS,Suburban
830,941c31c5-10e3-460d-8955-87b62024ee04,USER_07003,10/17/2023 17:14,Streaming Service,Family Subscription,Hotstar,2657.47,16.26,24.81,27,Credit Card,Successful,MERCH_0443,Android,Urban
831,e64623b9-c9e1-409a-9152-7349b216ef6e,USER_06661,10/17/2023 17:50,Online Shopping,Fitness Tracker,Myntra,508,14.41,36.5,966,Debit Card,Successful,MERCH_0678,Android,Urban
832,ca9b1016-8230-4b48-b594-9eaaa306bb77,USER_05431,10/17/2023 21:53,Taxi Fare,Share Ride,Uber,824.3,1.29,17.95,761,Wallet Balance,Successful,MERCH_0968,Android,Urban
833,ea38f151-7ada-48eb-85f9-78d00df2cdd4,USER_03671,10/17/2023 22:16,Streaming Service,Basic Plan,Netflix,4251.87,40.66,74.18,879,Unified Payments Interface,Successful,MERCH_0368,Android,Suburban
834,f9f5e47b-65e0-421f-8297-231549d40260,USER_03413,10/17/2023 22:22,Gaming Credits,500 Gems Pack,Free Fire,3942.02,49.42,65.63,102,Bank Transfer,Successful,MERCH_0473,iOS,Urban
